Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
5173366,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5238008,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,James Rankin,
5240419,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5293376,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
2863359,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4353446,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
4353497,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3919778,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
3984977,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4441091,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4477798,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4397433,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
3869262,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
3862447,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
3781481,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
